claim,gold_explanation,generated_explanation,pred_label_used,pred_conf_used
"In Small Test, Experimental Prostate Drug Shows Promise","Notwithstanding the headline, this is a story about two drugs for the treatment of advanced prostate cancer – Provenge, a drug recently approved by the FDA for the treatment of advanced prostate cancer and XL184, a compound currently under study. Combining the information for these treatments is a bit confusing. The news about XL184 reflected results which at that point had not yet been presented at a cancer conference in Berlin. While indicating that it is too early to say whether XL184 actually affects the cancer, the story should have reminded readers of the importance of things like quality of life and survival time. And there isn’t evidence about those factors yet with XL184. At issue is that, while advanced prostate cancer is a challenge, not all men with advanced prostate cancer would benefit from Provenge, though the story neglected this. And it is not clear that XL184 is of benefit to anyone. News about results from a small study that is still ongoing cannot carry enough caveats. It is really too early to know whether XL184 really shows promise or not. It is bad enough when journalists write glowing stories based on reports from scientific meetings. This story goes one step beyond that and reports on the outcome of a small trial before the scientific meeting has even been held. Although there are numerous caveats embedded in the story, it still provides a rather optimistic view of a drug based on early testing in 20 men. For reasons that we don’t understand, the story only reports on 20 of the 99 men enrolled in the study and only reports on the more positive results (those related to bone scans). This selective reporting provides the readers with a very limited and imbalanced view of the study results.","The claim is that in the Small Test, experimental prostate drug Provenge showed promise. The evidence provided includes the cost of the FDA-approved drug Provenge ($93,000/patient), the number of men who showed improvement in bone scans, and the fact that the study was conducted in a phase II trial.",true,0.9762552380561828
FDA Approves Bayer's Kyleena™ (Levonorgestrel-Releasing Intrauterine System) 19.5 mg for Prevention of Pregnancy for up to Five Years,"The news release focuses on a forthcoming birth control product called Kyleena. The product is implanted in the uterus and releases the hormone levonorgestrel, which the release says can prevent pregnancy for up to five years. The release does a fair job of describing the clinical trial that led to FDA’s approval of Kyleena, and also addresses potential side effects associated with the product. However, the release does not address cost at all. The release also fails to discuss similar alternatives that are already on the market, or even offer any information comparing the effectiveness of Kyleena relative to other forms of birth control. [Editor’s note: Bayer makes a number of IUD contraceptive devices including Mirena and a permanent contraceptive called Essure. This release stacks up favorably to a Bayer news release on Essure which we also reviewed (and discussed in a blog post) in terms of discussing harms, quantified benefits and quality of evidence. However, neither release addressed costs.] According to the CDC, more than 7 percent of U.S. women use long-term, reversible contraceptives — i.e., intrauterine systems or implants — to avoid unwanted pregnancy. The widespread use of these technologies means that they are both economically important and — more importantly — that such birth control systems have a significant impact on the health and well-being of millions of women. As such, it is newsworthy when new products receive FDA approval and come to market. But in order for potential users — and their healthcare providers — to make sense of a new product, they need some basic information. For example, they need to know how the new product compares to existing products on the market — and how much they will cost. This release falls short on both of those fronts.","The FDA-approved Kyleena (Levonorgestrel-Releasing Intrauterine System) 19.5 mg for Prevention of Pregnancy for up to Five Years is a birth control method that is similar to another product marketed by Bayer, Mirena, which is also an intrauterine device that releases levonorgestrel to prevent pregnancy.",false,0.9757018089294434
Wells Fargo and Chase are invested in the Dakota Access Pipeline.,"The pipeline is expected to carry 470,000 barrels of oil per day. Energy Transfer Partners CEO Kelcy Warren has said the company will not reroute the pipeline.",Wells Fargo and Chase are not invested in the Dakota Access Pipeline.,false,0.9754666090011596
"Mending broken sleep: Sleep apnea, the dangerous cessation of breathing during sleep, is being diagnosed more and more. A simple machine can bring refreshing relief","This is an engaging article that may help raise awareness of sleep apnea and the types of problems it may cause. The presentation of a continuous positive airway pressure (CPAP) device as a non-surgical intervention that can be quite helpful is accurate, though a more balanced view would have included some discussion of the difficulties that many have in being able to use these devices to obtain the benefits mentioned in the story.","Mending broken sleep: Sleep apnea, a dangerous cessation of breathing during sleep, is being diagnosed more and more. A simple machine can bring refreshing relief, but the effectiveness and safety of this approach are uncertain due to lack of evidence and mixed/insufficient information.",false,0.9742879867553712
"The city of Lake Worth Beach, Florida cut power and water services to some residents in the middle of the COVID-19 pandemic.",Did a Florida City Cut Residents’ Power During the COVID-19 Pandemic?,"The city of Lake Worth Beach, Florida cut power and water services to some residents in the middle of the COVID-19 pandemic.",true,0.9739733934402466
Hip resurfacing aimed at boomers,"The AP news story does a nice job of explaining what hip resurfacing is and how it fits into the history of hip replacement procedures. It summarizes the current availability of hip resurfacing in the US. However, the story provides virtually no evidence on the efficacy of resurfacing to support the mostly glowing testimonials of the three surgeons it quotes. According to the news article, the FDA “cited studies showing the Birmingham Hip resurfacer lasted at least five years…” What sorts of studies did the FDA analyze? What about the rest of the outcomes that patients value—such as improvements in pain and activity? Are there any randomized trials that compare similar patients who have undergone resurfacing with patients who have undergone total hip replacement? Is there follow-up beyond five years? These questions remain unanswered. The discussion of harms is likewise incomplete. The news article points out that hip resurfacing isn’t for everyone, and mentions two groups in whom it might not be appropriate. But the available research suggests the picture may be more complicated. There is disagreement about whether the procedure impairs the blood supply to bone or generates so much heat that it could cause the death of thigh bone. Bone death (necrosis of the femoral head) is a devastating complication for which there is currently no good solution. Other studies suggest additional potential problems. (For references and more details on potential harms, see “Harms of Treatment” above.) Although it is true that some researchers have found few problems with the devices and reported great success, readers deserve to know where the uncertainties lie. Perhaps the greatest uncertainty has to do with how long the implants will hold up. Though sufficient for FDA approval, survival of “at least five years” is not a strong endorsement. Total joint replacement, by comparison, has a track record extending 15 to 25 years. A closer look at the evidence might have reshaped the take-home message from this news report.","Hip resurfacing is a surgical procedure aimed at treating hip arthritis, not specifically targeting boomers.",false,0.9738207459449768
"U.S. Immigration and Customs Enforcement (ICE) is planning a six-day “Citizens Academy” training, including instruction on firearms and how to make arrests, for Chicago residents in September 2020.","""What's true: ICE is setting up a Citizens Academy they say will allow the agency to engage with civilians and """"debunk"""" misconceptions about ICE. The academy will conduct scenario-based training on """"defensive tactics, firearms familiarization, and targeted arrests"""" in Chicago so residents can see how ICE agents do their work. What's false: However, the agency's descriptions of the program do not say ICE will train members of the public to carry out arrests themselves, and ICE has explicitly denied activists' claims to that effect.""","U.S. Immigration and Customs Enforcement (ICE) is planning a six-day ""Citizens Academy"" training in Chicago in September 2020, which includes instruction on firearms and how to make arrests, but does not intend to train civilians to do arrests themselves.",true,0.9721572399139404
"""Mike Pence Says Hillary Clinton """"wants to increase Syrian refugees to this country by 550 percent.""","Under pressure to reduce environmental waste from single-use containers, major consumer companies including Procter & Gamble Co (PG.N), Unilever Plc (ULVR.L) and The Body Shop are rolling out more products in refillable form.",Mike Pence says that Hillary Clinton wants to increase Syrian refugees by 550 percent. Evidence: None.,false,0.9721450805664062
"""Reince Priebus Says Hillary Clinton took """"money from kings of Saudi Arabia and Morocco and Oman and Yemen.""","""Priebus said Clinton took """"money from kings of Saudi Arabia and Morocco and Oman and Yemen."""" The monarchies of Saudi Arabia, Morocco and Oman have contributed to the Clinton Foundation, but Yemen, which does not have a king, has not. And although Priebus’ claim was made during a discussion of the foundation as well as contributions to political candidates, his phrasing could have left the impression that Clinton herself, rather than the foundation, received the money. For a statement that is partially accurate, our rating is Half True. To comment on this article, go to the Milwaukee Journal Sentinel's web page. ""","Hillary Clinton accepted money from Saudi Arabia, Morocco, and Oman, but not Yemen.",false,0.972126603126526
Brain scans may someday detect autism,"The photo that ran with this story appeared straight out of a dystopian fantasy: a mother holding her infant, her shoulder draped in a loose, shawl-like lattice of wires connected to a swarm of electrodes attached to her baby’s head. Is this the future? Fortunately for readers, this story  did a better job than HealthDay in making better use of independent experts and didn’t allowing the lead author to get away with one of the more over-the-top statements that was quoted in the HealthDay story. But it did fail to explain the harms that may be associated with widespread use of scans or with false positives, the costs, and the alternatives to this type of screening. . Autism spectrum disorders are increasingly being diagnosed, yet the causes remain elusive and the treatments are far from a cure for most kids. Parents are hungry for solutions, as can be seen in the passionate comments below this article. What we do know is that early detection appears to be important because early intervention has shown promising results in mitigating the effects of the disorder. That’s why it is crucial for stories to carefully sort through the evidence to weed out the blips along the way from the true breakthroughs.","Brain scans may detect autism, but the current evidence is limited and inconclusive, with many questions remaining unanswered. The study's predictive accuracy is low, with only 80% of children identified as being at risk, and the study's findings are not yet validated in real-world settings.",false,0.971615433692932
An anti-seat belt law advocate was killed in automobile accident.,"""""""There seems to be a die-hard group of non-wearers out there who simply do not wish to buckle up no matter what the government does.""""""",An anti-seat belt law advocate was killed in a car accident despite wearing a seat belt.,false,0.9714010953903198
New Study Published on Cover of Urology Finds that Decipher® Prostate Cancer Classifier Reduces Conflicting Treatment Recommendations between Urologists and Radiation Oncologists,"In this news release, we’re introduced to a world of confusion among doctors about what to do with a man after they remove his cancerous, walnut-sized prostate gland. And the release offers something that can allegedly reduce that confusion: GenomeDx Biosciences’ Decipher, a test that sniffs out 22 different genetic signals of how a cancer case might play out. Next we’re told about the struggle between urologists and radiation oncologists. The former group is less likely than the latter to prescribe “adjuvant therapy,” typically radiation, after removing a prostate gland. Missing high-risk cancer cases and not treating them is a problem, of course, but so is treating men who probably don’t need it. (Although we’re never really told why that’s an issue.) According to the release, Decipher has the ability to change the minds of both urologists (45%) and radiation oncologists (35%), and get more of them to agree what or what not to do with a patient after removal of his cancerous prostate gland. That’s potentially an important advance, but we aren’t provided with crucial context — notably that it’s unclear if the decisions made because of Decipher were actually better decisions that would lead to a reduction in prostate cancer deaths. We’re also never cautioned about the small size of the study, given cost information about the test, or told about potential harms. Among cancers in men, prostate cancer is the second-most common – about 1 in 5 men in the U.S. will get a diagnosis in their lifetimes. It’s also the second-most deadly: Of the more than 200,000 men diagnosed each year in the U.S., nearly 30,000 die. (At least twice as many more black men succumb to prostate cancer as other ethnic groups.) Testing prostate cancer for how likely it is to grow quickly and migrate (metastasize) might save a lot of men from unnecessary follow-up treatments and unwanted side effects. So, a reliable tool to help clinicians make informed choices – and with a consensus of opinion among the doctors a patient sees – stands to help everyone while reducing costs associated with prostate cancer.",New Study Published on Cover of Urology Finds that Decipher Prostate Cancer Classifier Reduces Conflicting Treatment Recommendations between Urologists and Radiation Oncologists,false,0.9708071947097778
"""Whales live as long at SeaWorld"""" as they do in the wild.""","""A SeaWorld ad said """"whales live as long at SeaWorld"""" as they do in the wild. At its core, this claim is an oversimplification of a much more complex issue. Recent independent data suggests that survival rates for captive and wild orcas are about equal, but that by itself isn't all that significant, experts told us. The data is limited and comparisons between orcas in captivity and in the wild are tenuous. Experts also noted that logic suggests captive whales should live longer because they don't face predators and receive medical care, which makes SeaWorld's claim further misleading. Lastly, experts said that a simple measurement of survival rates (or lifespan) serves as a smokescreen from the more fundamental question of the conditions for whales in captivity. The statement is partially accurate but leaves out important details.""","Whales in captivity, specifically those at SeaWorld, do not live as long as they do in the wild.",false,0.9707851409912108
I just want to assure [you] we're not talking about cutting Medicare benefits.,Obama claims Medicare benefits will not be cut under the health care bill,"**Claim:** I just want to assure [you] we're not talking about cutting Medicare benefits. **Predicted label:** False
**Model confidence:** 0.97
**Evidence:** Obama's words to a town hall audience in Portsmouth, N.H., where he stated ""We are not.",false,0.970219075679779
"""Viral image Says 80% of novel coronavirus cases are """"mild.""","""The website Information is Beautiful published a chart showing that 80.9% of novel coronavirus cases are """"mild."""" PolitiFact couldn't find credible studies that matched that precise estimate. But reports from the World Health Organization and the U.S. CDC found that mild cases account for 75-to-80% of all cases.""","The claim ""80% of novel coronavirus cases are'mild'"" is FALSE.",false,0.9696500897407532
Ginger Supplements Might Ease Inflammation Linked to Colon Cancer,"The goal of the study was to show that the colon lining had decreased levels of inflammatory markers. Although this was accomplished in this very small and short study, it remains unclear whether this has any importance in the complex pathways that lead to colonic polyps and ultimately, malignancies. Look at how the headline – which starts the story – and the final sentence – conflict:  HEADLINE:  Ginger Supplements Might Ease Inflammation Linked to Colon Cancer FINAL SENTENCE: “It’s much too early to tell whether ginger has anti-cancer properties.”   Americans are overwhelmed by a tsunami of health care news every day. Why was it vital that they receive this extremely preliminary information now? Can the flood of health care news – including from such tiny, early studies – simply confuse and turn off readers? We think so. News decision-makers may say “Our readers have an unsatiable appetite for health news.”  But where is the evidence that they want this kind of medical minutiae? Reporting on results with","The claim ""Ginger Supplements Might Ease Inflammation Linked to Colon Cancer"" is false. A 28% decrease in inflammation level is not a reliable measure of its potential link to colon cancer.",false,0.9693107604980468
"Tim O'Brien Says Bernie Sanders has said “things like women get cancer from having too many orgasms, or toddlers should run around naked and touch each others' genitals to insulate themselves from porn … He's written about women's rape fantasies.","O’Brien was referring to essays Sanders contributed to a left-leaning alternative newspaper called the Vermont Freeman almost 50 years ago. In 1969, Sanders wrote one essay that cited studies purporting to link cervical cancer to women having too few orgasms, not too many, and another essay that criticized rules against toddlers being naked on beaches. In 1972, Sanders wrote about women’s sexual fantasies as part of an essay commenting on gender stereotypes. He’s since called it “bad fiction.”",This claim is false.,false,0.968736171722412
We check an assortment of claims about the 2017 total solar eclipse over North America.,"Eclipses only occur if the Moon is located within 0.5 degrees of the plane of the ecliptic, on a line that passes through the center of the Sun and the Earth. The Moon travels along an orbit that is inclined by 5 degrees to the ecliptic plane, so there are only two opportunities each month when it passes through the plane of the ecliptic. These points are called the ascending and descending nodes. Eclipses of the Sun only occur if new moon occurs when the Moon is near of one of these nodes. A similar argument explains why lunar eclipses do not occur every full moon at the node opposite the Sun from the Earth.","Here's a faithful explanation of the given text:

A total solar eclipse occurred on August 21, 2017, visible across parts of North America. The path of totality, a narrow region where the eclipse is visible, spans approximately 70 miles wide and covers parts of the United States, including Oregon, Idaho, Wyoming, Montana, Nebraska, Iowa, Kansas, Missouri, Illinois, Kentucky",false,0.9674936532974244
The school shooting rate in non-Christian Japan is vastly lower than that of mostly Christian Texas.,Shotgun owners are also required to store their weapons in a specified locker at their home and report its location to police. Ammunition must be kept in a separate locked safe.,The school shooting rate in non-Christian Japan is significantly lower than that of mostly Christian Texas.,false,0.9660730957984924
Rihanna's Instagram message to followers to throw away the Snapchat app caused the company's share value to fall by hundreds of millions of dollars in one day.,"What's true: Snap, Inc. did lose a lot of value immediately after Rihanna told people to get rid of the app. What's false: The extent of the loss attributable to her statements is impossible to quantify.","Rihanna's Instagram message to followers to throw away the Snapchat app caused the company's share value to fall by hundreds of millions of dollars in one day due to the negative publicity surrounding her relationship with Chris Brown, specifically the Snapchat commercial that mocked her abuse.",false,0.965414583683014
"""Obamacare medical device tax """"has led to the loss of thousands of jobs"""" in U.S.""","""Poe said """"the costly medical device tax"""" in the Obamacare law """"has led to the loss of thousands of jobs across the nation."""" News stories indicate more than 2,000 such cuts were planned or made partly because of the tax. An industry analyst has said that """"the tax is costing the industry thousands of jobs,"""" but also told us that """"it's nearly impossible to determine if the tax alone was the cause of layoffs."""" Poe’s claim is partly accurate but leaves out this important context.""","The claim ""Obamacare medical device tax has led to the loss of thousands of jobs"" is false.",false,0.9645506143569946
Boiling menstrual pads and drinking the water to get “high” or “drunk” is an alarming new trend amongst Indonesian teens. ,"What's true: Reports suggest of a small number of children in the the poorest parts of Indonesian regions such as Karawang, Belitung and Jogjakarta boiling sanitary pads into a liquid and drinking that liquid to experience some form of inebriation. What's false: This activity is neither new nor a trend. Local officials tell us they do not encounter the practice often and that it has been documented going back to at least 2016. What's undetermined: It is unclear if soiled pads are actually used in this process.","Boiling menstrual pads and drinking the water to get ""high"" or ""drunk"" is a concerning trend amongst Indonesian teens, with evidence suggesting that it may be linked to poverty and child exploitation.",false,0.9641544818878174
"Zinc will help your cold, at least a little","It begins well, saying, “A new look at the medical evidence shows zinc supplements may take the edge off the common cold. But not a whole lot.” That’s a more realistic assessment of the evidence than the more enthusiastic beginning to the WebMD story on the same subject. At the same time, this story could have done a better job providing details from the review and quantifying the benefits in a transparent way. We also wish it had brought in some outside perspectives, which could have offered some important insights. But let’s not lose sight of the strong points:  for the second straight day, Reuters Health (and this same reporter) led with caution while others trumpeted findings. Note how the WebMD had an early quote, “This is great news.” And the NY Times’ first sentence said it “may be the next best thing” to a cure. To quote the title of an evidence-based health care column in the Times, “Really?”  Although most of us view the common cold as a mere nuisance, the infection can have serious clinical and economic impact. The common cold is responsible for a large number of lost work days, lost school days and physician visits. Over $400 Million is spent annually in the US for over the counter remedies. Unfortunately, the common cold is also responsible for significant number of prescriptions for antibiotics despite the fact that antibiotics do not work against viral infections. The common cold can also trigger ear infections, sinusitis and worsen lung disease. The Cochrane review of published studies assessing the value of a number of different zinc products as both preventives and for treatment provides a new look at a long standing question; Do zinc salts provide any benefit in the treatment or prevention of the common cold? Stories about such a sought after treatment should take an appropriately critical and cautious look at the evidence.","Zinc may help alleviate mild cold symptoms, but the evidence is limited and inconclusive.",true,0.9635875821113586
"""Dr. Deborah Birx said at a press conference concerning testing for COVID-19 that """"At $50 a test, it wasn’t enough to hire another technician to run the machine full-time. So at $100 a test, it is.""",‘At $50 a Test It Wasn’t Enough … at $100 It Is’,"The claim is that Dr. Deborah Birx said that at $50 a test, it wasn't enough to hire another technician to run the machine full-time.",false,0.9629976749420166
Diabetes drug may keep lung cancer at bay,"Weaker on costs, quality of the evidence, benefits, harms, and comparison to other approaches or other research. That’s quite a few holes in comparison with the competition on this one. It’s interesting to learn that an inexpensive generic drug could have a positive effect against lung cancer. But this story didn’t deliver sufficient detail or context for readers to be able to judge the current state of the research.",This study suggests that taking diabetes medication may help prevent lung cancer.,false,0.9623956084251404
"""Mike Pence supported """"gay conversion"""" therapy, including the use of electroshock therapy.""","""What's true: Mike Pence once supported the use of federal funding to treat people """"seeking to change their sexual behavior."""" What's false: Pence never stated that he supported the use of electric shocks or """"gay conversion"""" therapy.""","Mike Pence, the former Governor of Indiana and Republican presidential nominee, was accused of supporting ""gay conversion"" therapy, including the use of electroshock therapy, in October 2016.",false,0.9622406363487244
Facebook post says Joe Biden has said 150 million Americans died from guns and another 120 million from COVID-19,"A Facebook post said presidential candidate Joe Biden said 150 million people died from gun violence and 120 million people died from COVID-19   In February, Biden incorrectly said in the final Democratic primary debate that 150 million Americans have been killed with guns. Biden’s campaign admitted this was a mistake after the debate and the number was supposed to be 150,000 people. Presidential candidate Joe Biden incorrectly said on June 25 at a campaign event that 120 million people died from COVID-19. As of June 25, more than 119,000 died according to the Johns Hopkins Coronavirus Resource Center’s U.S. map. After making the ‘120 million’ claim, Biden immediately corrected himself. The Facebook ad was correct in that Biden made these claims. The numbers in these claims are incorrect.",Facebook post contains a mixture of true and false information. The claim that Joe Biden said 150 million Americans died from guns and 120 million from COVID-19 is false.,false,0.9617207050323486
People come here to have babies. They come here to drop a child. It's called 'drop and leave.,Fact-checking the claims about 'anchor babies' and whether illegal immigrants 'drop and leave',"People come to the United States to have babies, often dropping off their children at hospitals or clinics, and then leaving. This is often referred to as ""drop and leave."" However, the majority of these individuals are not seeking citizenship for their children, but rather for economic reasons, such as finding work or improving their living situation.",false,0.9615815877914428
"Bats are pictured on the reverse of a U.S. quarter issued in 2020, an indicator that COVID-19 is connected to a government plot.",Australian Prime Minister Scott Morrison issued a rare public apology on Friday and cut short a Hawaiian vacation in response to mounting public anger after two volunteer firefighters were killed battling bushfires sweeping the country’s east coast.,"Bats are not pictured on the reverse of a U.S. quarter issued in 2020, indicating that COVID-19 is not connected to a government plot.",false,0.9613044261932372
"""An increase in documented cases of people """"scromiting"""" (screaming while vomiting) is linked to chronic heavy marijuana use.""","""What's true: A rare and poorly understood condition called """"cannabinoid hyperemesis syndrome"""" is tied to long-term cannabis use which drives sufferers to experience excessive vomiting and abdominal pain; this condition could plausibly lead to a combination of screaming and vomiting. What's undetermined: The degree to which increased access to marijuana is causing increased cases of the syndrome is not fully established, and it is also unclear how widespread emergency room use of the word """"scromit"""" is.""","The claim ""An increase in documented cases of people'scromiting'"" (screaming while vomiting) is linked to chronic heavy marijuana use is FALSE.",false,0.960890769958496
"Donald Trump raped his former wife and a young woman, and his modeling agency was found to be trafficking young girls.","The original poster of the image stated that after “the 2005 video of Donald Trump was released” she wished just to “add fuel to the fire on how disgusting he is” by highlighting things the public allegedly had ignored about the candidate’s history. But two of the three claims about Trump that the public or the news media “are not going to talk about” have in fact received widespread media attention, and the third was contorted to the point of being unrecognizable when compared to the source material from which it was derived.","This individual claims that Donald Trump raped his former wife, Ivana Trump, and that his modeling agency, Trump Model Management, trafficked young girls. Evidence: 
- Multiple women have come forward to claim that Trump had sexual relationships with them, including Ivana Trump, and that he forced them to engage in sexual activity without their consent.",false,0.9606300592422484
"""An """"abortion procedure is actually safer than a vasectomy.""","""González said an """"abortion procedure is actually safer than a vasectomy."""" Both procedures rarely have complications, a clarification missing from this declaration. That said, abortion procedures appear to have lower complication rates.""",Abortion procedures are generally considered safer than vasectomies due to lower complication rates.,false,0.9593182802200316
"Wine and coffee lovers, drink up! It's great for your microbiome","The news article reports on two research studies that attempt to establish the most common microorganisms found in the human digestive system. The news story does a good job of presenting the scientific results in an accessible manner, but it unfortunately made health claims not backed by the evidence. Establishing a “normal” gut microbiome profile may be beneficial for many future clinical studies yet remains under-investigated.","Wine and coffee may not be beneficial for your microbiome, despite claims suggesting otherwise.",false,0.9579497575759888
Martin Luther King said our lives begin to end the day we become silent on things that matter.,"Per Patrick, King said our lives begin to end the day we become silent on things that matter. Patrick didn’t show nor did we confirm that King made this direct statement. Then again, Patrick didn’t specify he was quote-unquote directly quoting King while King in 1965 made a longer proclamation that might later have been paraphrased in the 14 words that Patrick and others including President Clinton ultimately attributed to the civil rights icon. The statement is partially accurate but leaves out important details or takes things out of context. https://www",Martin Luther King Jr. said our lives begin to end the day we become silent on things that matter.,true,0.957762598991394
Two New Studies Document Improvement in Breast Cancer Treatment with Use of BioZorb Implant,"BioZorb marker implant. Image: Focal Therapeutics The first study highlighted in this news release (and the focus of this review) describes the use of a three-dimensional bio-absorbable marker implanted surgically during breast cancer surgery. The purpose of the device is to aid surgeons and radiation oncologists in making breast cancer tumor removal more precise (without damaging extra tissue) and leaving a marker in place at the surgical area to aid follow-up examinations and radiation treatment. The release would have been stronger with a mention of study limitations and added details on harms and quantification of benefits. Breast cancer patients and physicians alike want treatment to be the most effective and least toxic possible. Reducing radiation damage and improving followup care are worthy of news coverage. There are, however, a number of inadequately covered issues in this news release.","Two new studies document improvement in breast cancer treatment using BioZorb implants, with a 25% reduction in treatment costs. The studies found that the implant resulted in similar patient outcomes despite the initial claim of a 25% cost savings.",true,0.9576495885849
Facebook post Says truck drivers are being turned away from fast-food restaurants during the COVID-19 pandemic.,Truck drivers are having issues getting meals at some fast-food chains with shuttered dining rooms. Their rigs can’t fit in drive-thru lanes and they aren’t allowed to walk up and order at the window. McDonald’s responded to complaints and created a curbside trucker ordering service at some of its locations. Other fast-food chains haven’t yet implemented a solution.,"Facebook post claims that truck drivers are being turned away from fast-food restaurants during the COVID-19 pandemic. Evidence: Social media posts, McDonald's and Wendy's responses, and reports of truckers being turned away from drive-thru lanes.",mixture,0.955069363117218
A megalodon capsized a South African charter vessel in April 2013.,Does a monster megalodon shark named 'Submarine' prowl the ocean's depths?,"A megalodon, a prehistoric shark, is believed to have existed in the oceans before its extinction.",true,0.954859495162964
Broccoli May Slow or Reverse Some Atherosclerosis,"This story takes a look at a small study investigating the positive effects of a natural compound called sulforaphane–found in cruciferous vegetables including broccoli–on cholesterol levels, inflammation and blood vessel health in rabbits. Unfortunately, the story implies that the compound–and more specifically broccoli consumption–may be beneficial for humans for the same reasons. That’s a big, unproven leap: Basic research in 15 rabbits is a long way from the kinds of data needed to nail down the value of this compound for people. Heart disease is the leading cause of death in America, and anything that has been proven to lower the risk of atherosclerosis in people deserves coverage in national news outlets. But this level of research doesn’t meet that bar, and stories about this study could mislead people into thinking they merely need to eat more broccoli to reverse or prevent heart disease.","The claim ""Broccoli May Slow or Reverse Some Atherosclerosis"" is supported by the evidence that sulforaphane can significantly change blood lab levels, which suggests a potential link to atherosclerosis. However, the study's limitations, including the lack of blinding of the researchers and the absence of information on the supplement's availability and effectiveness, raise concerns about the study's applicability to humans",true,0.9546322226524352
"Small increases in physical activity reduce immobility, disability risks in older adults","This university news release describes results of a study of sedentary elderly Americans enrolled in a federally funded study designed to document and improve their physical mobility and function. The release does a good job of describing the study methods and the conclusion that a modest increase of at least 48 minutes a week of moderately intense walking and walking-based strengthening exercises achieved significant, if not dramatic, decreases in average overall risk of major mobility disability over a two-year-plus period of time. It also paid appropriate attention to the “dose-dependent” benefits of the exercise regimen as compared to the control group’s health education classes. That is, the greater the increase in minutes of exercise, the greater the benefits on average overall. It also noted the researchers’ conclusion that although 150 minutes of exercise a week was the goal, seeing benefits at just 48 minutes does have implications for exercise compliance rates and the likelihood that even elderly couch potatoes might devote 15 minutes or so a few days a week to stay healthier. The release didn’t include any numbers summarizing and putting the results in context. It also would have been strengthened by including a more detailed description of what “sedentary” referred to. One notable inclusion was a paragraph devoted to weaknesses in the study. Bravo for that. As the U.S. population ages, increasing numbers of elderly signal their desire to live independently, and evidence for the benefits of consistent and persistent exercise grows, researchers, geriatricians and the public are clearly interested in identifying optimal and safe exercise regimens that people can do on their own, that don’t require gym memberships or expensive equipment, and that — most of all– that people will stick to over the long haul. For many over 70 or 75 years of age, even half an hour a day can seem overwhelming. Thus, research suggesting that 20 minutes a day of moderately intense walking (with or without ankle weights), stretching, and balance exercises is a reasonable goal. Studies designed to demonstrate with some confidence that even moderate exercise can contribute to reduced risk of disability are likely to attract interest among caregivers and the public.",Small increases in physical activity reduce immobility risks in older adults.,true,0.9534674882888794
Omega-3 Fatty Acids May Lower Breast Cancer Risk in Postmenopausal Obese Women,"This release describes the results of a study testing whether omega-3 fatty acids have a beneficial effect on reducing the risk of breast cancer in obese women by reducing the density of their breast tissue. Higher breast tissue density is recognized as a marker for increased breast cancer risk. The study involved a small group of women who received the omega-3 fatty acid, the omega-3 in tandem with a chemo-preventative drug Raloxifene, the drug alone, or no treatment at all. According to the release, at the end of two years, women considered obese (their body mass index — BMI — was greater than 29) showed a reduction in breast tissue density, which the researchers argued reduced their cancer risk. However, this is misleading. This finding is from a small subgroup of obese women within the already-small study. The main finding of the study — which is never even mentioned in the news release — is that the supplement had no impact on reducing high breast density whether taken alone or in tandem with Raloxifene. The release also omitted projected costs and harms of the prescription-only supplement used in the study. The American Cancer Society predicts that 246,660 new cases of invasive breast cancer will be diagnosed in women this year and that more than 40,000 women will die from this disease. Easy actions that women can take to prevent this disease, or at least reduce their risk of getting it, are of almost universal interest to the public. If it is shown that taking a readily available supplement like omega-3 fatty acids will reduce breast cancer risk in obese women, that’s information that will be of wide interest.","The claim ""Omega-3 Fatty Acids May Lower Breast Cancer Risk in Postmenopausal Obese Women"" is false.",false,0.9532371759414672
"In 2010 alone, 1,270 infants were reported to have died following attempted abortions and notably that is only one year.","""Yoest said 1,270 infants in 2010 """"were reported to have died following attempted abortions."""" The figure is based on an """"other"""" category of perinatal deaths, but it does not mean what she says it means. Included in this category are babies who die of various other issues, mainly heart problems.""","In 2010, 1,270 infants were reported to have died following attempted abortions, according to the Centers for Disease Control and Prevention (CDC).",true,0.9520640969276428
A clause in the document annexing Texas to the United States allowed for Texas to be divided into five different states.,"Another Texas-related legend holds that the Texans negotiated an annexation treaty which reserved to them the right to secede from the Union without the consent of the U.S. Congress, but the terms of Texas’ annexation contain no such provision.","Texas was annexed by the United States in 1845 due to the benefits outweighing the risks, despite concerns about the potential for conflict with Mexico.",true,0.9507144689559937
Hold off on those extra vitamins,"""This was a 138-word story on a recent study that found that more than one multivitamin a day was correlated with increased risk of advanced and fatal prostate cancer. However the story fell short of the mark of informing readers because it failed to provide sufficient context to understand what the absolute increase in risk was. See our primer on absolute vs. relative risk. Instead of explaining that taking additional beta carotene and zinc supplements increased this risk even more, the story could have used that space to provide numbers to help men understand the frequency with which advanced prostate cancer occurs and how common it is that prostate cancer never advances or becomes fatal. Saying that risk was increased 32% or """"nearly doubled"""" just isn’t helpful if readers aren’t given the baseline risk. 32% of what? Nearly double what? We will continue to point out the severe limitations of such short pieces on medical science. Meantime, a short 263-word story by USA Today on the same study got a five-star score – so it is possible to be brief and meet most of our criteria.""",The claim is that holding off on extra vitamins is beneficial.,true,0.9495773315429688
